[24] 27351 {index_type: IVF_SQ8, nlist: 681, nprobe: 149, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.26, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 16763, dataNode*segment*insertBufSize: 3600152178, rootCoord*minSegmentSizeToEnableIndex: 424} 511.545474241997 827.9425266069884 55.8479074939969 179.05773821651064 0.9633200000000001 911
[25] 28846 {index_type: IVF_PQ, nlist: 483, nprobe: 4, m: 8, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.25, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 13468, dataNode*segment*insertBufSize: 4571240491, rootCoord*minSegmentSizeToEnableIndex: 100} 549.6493363779882 1458.015291165997 9.682371706003323 1032.804802753001 0.09683 1494
[26] 30505 {index_type: HNSW, nlist: 128, nprobe: 8, m: 6, nbits: 8, M: 31, efConstruction: 254, ef: 501, reorder_k: 500} {dataCoord*segment*maxSize: 415, dataCoord*segment*sealProportion: 0.31, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 25808, dataNode*segment*insertBufSize: 4763125108, rootCoord*minSegmentSizeToEnableIndex: 247} 591.6452384940058 1588.9281308089994 38.15143601600721 262.113331613633 0.9996799999999999 1658
[27] 31254 {index_type: IVF_SQ8, nlist: 600, nprobe: 6, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 667, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 7549, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1129} 551.3745034480089 704.1029162659979 9.305461177995312 1074.637764718966 0.88266 749
[28] 32311 {index_type: IVF_PQ, nlist: 1433, nprobe: 14, m: 8, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 842, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 19375, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 380} 545.4999818209908 1022.7198204269953 8.832154260002426 1132.2266013045444 0.11596000000000001 1057
[29] 33365 {index_type: HNSW, nlist: 128, nprobe: 8, m: 6, nbits: 8, M: 32, efConstruction: 259, ef: 498, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.35, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 10214, dataNode*segment*insertBufSize: 5109625351, rootCoord*minSegmentSizeToEnableIndex: 784} 517.8950672960054 954.5838537800009 74.93373043199244 133.45125008924643 0.99977 1053
[30] 34413 {index_type: SCANN, nlist: 1008, nprobe: 141, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 626, dataCoord*segment*sealProportion: 0.27, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 23676, dataNode*segment*insertBufSize: 4275370812, rootCoord*minSegmentSizeToEnableIndex: 553} 543.072123734004 1010.9284749970102 12.541259181001806 797.3680996202163 0.9928799999999999 1047
[31] 35736 {index_type: AUTOINDEX, nlist: 128, nprobe: 8, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 602, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 19327, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 256} 508.4313841999974 1281.6206478109962 15.36145447200397 650.9800239440124 0.89141 1322
[32] 36895 {index_type: IVF_SQ8, nlist: 2379, nprobe: 23, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 891, dataCoord*segment*sealProportion: 0.28, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 8913, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 759} 543.9985096510063 1113.680428355001 16.207707583002048 616.9904009427943 0.93529 1159
[33] 37763 {index_type: IVF_PQ, nlist: 1, nprobe: 1, m: 6, nbits: 7, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 843, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 27449, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 411} 516.1778673570079 652.5709336529981 185.4141334140004 53.933321132923474 0.021240000000000002 868
