[24] 4088 {index_type: IVF_SQ8, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 532, dataCoord*segment*sealProportion: 0.27, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 17541, dataNode*segment*insertBufSize: 386866994, rootCoord*minSegmentSizeToEnableIndex: 2841} 60.61911568196956 83.81896626099478 171.018447851995 58.47322394514029 0.9772200000000001 276
[25] 4224 {index_type: IVF_PQ, nlist: 146, nprobe: 5, m: 10, nbits: 7, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 563, dataCoord*segment*sealProportion: 0.09, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 24028, dataNode*segment*insertBufSize: 257596565, rootCoord*minSegmentSizeToEnableIndex: 1108} 64.38222210400272 99.68349447398214 7.243330384953879 1380.5804054958448 0.16667 135
[26] 4442 {index_type: HNSW, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 34, efConstruction: 332, ef: 542, reorder_k: 500} {dataCoord*segment*maxSize: 2566, dataCoord*segment*sealProportion: 0.16, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 6897, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1185} 65.39214848499978 180.6136684170342 13.25039859599201 754.6942778781619 0.99305 218
[27] 4696 {index_type: IVF_SQ8, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 845, dataCoord*segment*sealProportion: 0.3, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 14784, dataNode*segment*insertBufSize: 328083260, rootCoord*minSegmentSizeToEnableIndex: 4492} 64.5974483389873 87.78766607498983 144.11159417999443 69.39066948013958 0.97782 253
[28] 4833 {index_type: IVF_PQ, nlist: 416, nprobe: 24, m: 5, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1771, dataCoord*segment*sealProportion: 0.15, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 13204, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1098} 63.53893010696629 94.81219717598287 6.87515232397709 1454.5132280378728 0.09575000000000002 136
[29] 5055 {index_type: HNSW, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 34, efConstruction: 231, ef: 545, reorder_k: 500} {dataCoord*segment*maxSize: 2803, dataCoord*segment*sealProportion: 0.18, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 21574, dataNode*segment*insertBufSize: 2393688426, rootCoord*minSegmentSizeToEnableIndex: 1011} 67.26673314202344 191.5730056790053 10.449332104995847 956.9989640982872 0.97316 222
[30] 5247 {index_type: SCANN, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 164, dataCoord*segment*sealProportion: 0.13, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 20130, dataNode*segment*insertBufSize: 1832151633, rootCoord*minSegmentSizeToEnableIndex: 1017} 70.75647432403639 160.94082857301692 9.129892724973615 1095.3031214316813 0.99965 192
[31] 5408 {index_type: AUTOINDEX, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1490, dataCoord*segment*sealProportion: 0.25, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 32959, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 969} 63.09460334503092 130.75054818403441 7.059868142998312 1416.4570495438488 0.6602100000000001 160
[32] 5560 {index_type: IVF_SQ8, nlist: 1253, nprobe: 12, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1861, dataCoord*segment*sealProportion: 0.04, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 25862, dataNode*segment*insertBufSize: 911328807, rootCoord*minSegmentSizeToEnableIndex: 1201} 63.32755594898481 121.82784417399671 7.144922862993553 1399.5952359113696 0.78019 151
[33] 5707 {index_type: IVF_PQ, nlist: 1, nprobe: 1, m: 10, nbits: 7, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 446, dataCoord*segment*sealProportion: 0.26, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 20333, dataNode*segment*insertBufSize: 481016768, rootCoord*minSegmentSizeToEnableIndex: 6078} 62.25337358703837 88.32004021503963 34.0589865570073 293.60826644862686 0.15369000000000002 146
[34] 5902 {index_type: HNSW, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 38, efConstruction: 198, ef: 620, reorder_k: 500} {dataCoord*segment*maxSize: 1066, dataCoord*segment*sealProportion: 0.17, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 27128, dataNode*segment*insertBufSize: 1106994594, rootCoord*minSegmentSizeToEnableIndex: 1141} 60.029358237981796 150.76769922696985 12.915263269969728 774.2776737081132 0.99329 195
[35] 6038 {index_type: SCANN, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 385} {dataCoord*segment*maxSize: 2588, dataCoord*segment*sealProportion: 0.13, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 18254, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 943} 70.70813335996354 99.48609103297349 8.81682380498387 1134.1952863283168 0.99916 135
[36] 6215 {index_type: AUTOINDEX, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1250, dataCoord*segment*sealProportion: 0.25, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 19617, dataNode*segment*insertBufSize: 1474900502, rootCoord*minSegmentSizeToEnableIndex: 967} 66.16374701302266 145.7052815760253 8.055584344023373 1241.3748739927519 0.63144 177
[37] 6378 {index_type: IVF_SQ8, nlist: 1824, nprobe: 18, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 2100, dataCoord*segment*sealProportion: 0.05, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5154, dataNode*segment*insertBufSize: 136126074, rootCoord*minSegmentSizeToEnableIndex: 1155} 62.550659672997426 130.5203880579793 7.223990477039479 1384.2764648961968 0.8024700000000001 163
