[31] 25604 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 232, dataCoord*segment*sealProportion: 0.55, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 8984, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1473} 416.75922028301284 909.9055613572709 15.943715046159923 627.2063926787578 0.9417800000000001 949
[32] 26465 {index_type: IVF_SQ8, nlist: 2439, nprobe: 14, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 670, dataCoord*segment*sealProportion: 0.45, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 15461, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 321} 381.1841376591474 825.5867852149531 10.585783081129193 944.663226457621 0.9051300000000001 861
[33] 27159 {index_type: IVF_PQ, nlist: 1565, nprobe: 12, m: 8, nbits: 7, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1801, dataCoord*segment*sealProportion: 0.25, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 28922, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 2309} 377.3693431937136 654.1670594550669 10.559503317810595 947.0142391198564 0.10723000000000002 693
[34] 28261 {index_type: HNSW, nlist: 128, nprobe: 7, m: 6, nbits: 8, M: 21, efConstruction: 268, ef: 487, reorder_k: 500} {dataCoord*segment*maxSize: 1353, dataCoord*segment*sealProportion: 0.33, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 15721, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1472} 377.5668671033345 1048.796108034905 26.492216404061764 377.4693610938045 0.9990600000000001 1101
[35] 29088 {index_type: SCANN, nlist: 1, nprobe: 1, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 407} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.39, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 14751, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 610} 375.17592846322805 770.676720099058 29.5991730527021 337.84727641528156 0.99949 827
[36] 29952 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.47, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 229, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1167} 374.85579565819353 808.7928114659153 30.63959101913497 326.3751136154142 0.9668100000000001 863
[37] 30548 {index_type: IVF_PQ, nlist: 1145, nprobe: 13, m: 4, nbits: 7, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1519, dataCoord*segment*sealProportion: 0.38, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 18058, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 598} 394.39709746232256 563.0311365230009 7.645577164366841 1307.9457292781292 0.04125 596
[38] 31765 {index_type: HNSW, nlist: 128, nprobe: 7, m: 6, nbits: 8, M: 28, efConstruction: 289, ef: 534, reorder_k: 500} {dataCoord*segment*maxSize: 1521, dataCoord*segment*sealProportion: 0.29, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 13429, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1677} 374.27093592705205 1164.7246524863876 26.636038802098483 375.431199597598 0.9995 1216
[39] 32627 {index_type: SCANN, nlist: 296, nprobe: 10, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 541} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.35, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 13432, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 845} 370.0101253329776 827.61191808898 11.335804087109864 882.160623380142 0.9676799999999999 861
[40] 33912 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 2440, dataCoord*segment*sealProportion: 0.44, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 100, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1131} 382.4870593557134 921.5411851187237 339.1483738156967 29.48561978196097 0.8599899999999999 1285
