[24] 10878 {index_type: IVF_SQ8, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 225, dataCoord*segment*sealProportion: 0.41, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 100, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 134.41817501897458 223.83023244899232 33.06725062400801 30.241401420714553 0.9787 282
[25] 11144 {index_type: IVF_PQ, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 545, dataCoord*segment*sealProportion: 0.32, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 12223, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 130} 128.63462144398363 240.86663702700753 2.3742335779825225 421.18855081214815 0.0742 265
[26] 11641 {index_type: HNSW, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 255, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 979, dataCoord*segment*sealProportion: 0.43, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 6289, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 602} 131.4614755010116 462.9419171930058 6.344781634979881 157.60983711193882 0.9969 496
[27] 11895 {index_type: IVF_SQ8, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1040, dataCoord*segment*sealProportion: 0.21, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 19515, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 208} 127.73773727199296 211.82738735200837 19.733693165995646 50.674751633574715 0.9786000000000001 254
[28] 12248 {index_type: IVF_PQ, nlist: 1, nprobe: 1, m: 8, nbits: 7, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 156, dataCoord*segment*sealProportion: 0.41, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 100, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 155.52952983300202 294.9232358529698 26.427649991004728 37.839157107816 0.037200000000000004 352
[29] 12743 {index_type: HNSW, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 255, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 752, dataCoord*segment*sealProportion: 0.32, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 14499, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 699} 143.72355020203395 458.9395734440186 5.71771257603541 174.89511525837966 0.9971 495
[30] 13147 {index_type: SCANN, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 499} {dataCoord*segment*maxSize: 962, dataCoord*segment*sealProportion: 0.42, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 15258, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 154} 151.71046681399457 369.21186845499324 5.162331448984332 193.71092497300728 0.998 403
[31] 13661 {index_type: AUTOINDEX, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.24, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 9791, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 905} 148.03811276098713 483.7502471659682 4.5225461819791235 221.11438109458672 0.8998 513
[32] 13946 {index_type: IVF_SQ8, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 398, dataCoord*segment*sealProportion: 0.15, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 9380, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1015} 134.3802481109742 238.57388109795284 19.230855750036426 51.99976605295403 0.9771000000000002 284
[33] 14235 {index_type: IVF_PQ, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 794, dataCoord*segment*sealProportion: 0.12, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 6656, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 3599} 141.20235164498445 262.8605204349733 2.4794320220244117 403.31817574232906 0.06930000000000001 289
