[24] 3461 {index_type: IVF_SQ8, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.03, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 17178, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 43.522029135376215 85.5590557558462 74.49890856072307 134.23015441694872 0.9796600000000001 185
[25] 3590 {index_type: IVF_PQ, nlist: 1, nprobe: 1, m: 10, nbits: 7, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.44, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 23382, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 148} 44.36808943748474 80.67373847030103 25.534218243323267 391.63133582970835 0.15899000000000002 128
[26] 3727 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 27, efConstruction: 208, ef: 474, reorder_k: 500} {dataCoord*segment*maxSize: 1537, dataCoord*segment*sealProportion: 0.25, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 27758, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 44.34892663732171 100.82803354039788 9.850154272280633 1015.2125259744457 0.9813900000000001 137
[27] 3919 {index_type: IVF_SQ8, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 285, dataCoord*segment*sealProportion: 0.22, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 24393, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 43.648715211078525 59.808150462806225 106.21112453285605 94.1520960632192 0.9789200000000001 192
[28] 4013 {index_type: IVF_PQ, nlist: 711, nprobe: 2, m: 10, nbits: 5, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 2483, dataCoord*segment*sealProportion: 0.28, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 34004, dataNode*segment*insertBufSize: 40178284, rootCoord*minSegmentSizeToEnableIndex: 1178} 45.9829016905278 61.62609000969678 6.644649198278785 1504.970345551181 0.12815 94
[29] 4158 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 30, efConstruction: 238, ef: 490, reorder_k: 500} {dataCoord*segment*maxSize: 1772, dataCoord*segment*sealProportion: 0.27, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 34522, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1063} 45.35322585236281 110.06522049196064 10.695136717520654 935.0044103333538 0.98666 144
[30] 4284 {index_type: SCANN, nlist: 1792, nprobe: 16, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 502} {dataCoord*segment*maxSize: 931, dataCoord*segment*sealProportion: 0.21, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 30133, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 931} 43.47996340505779 92.88425664138049 6.7184341279789805 1488.4420699095506 0.7889 126
[31] 4410 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1041, dataCoord*segment*sealProportion: 0.19, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 47523, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 46.273506046272814 94.69642741419375 6.866443608887494 1456.3579881522114 0.6456500000000001 126
[32] 4544 {index_type: IVF_SQ8, nlist: 37, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 9686, dataCoord*segment*sealProportion: 0.75, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 88368, dataNode*segment*insertBufSize: 7467846527, rootCoord*minSegmentSizeToEnableIndex: 7560} 44.958085098303854 68.14945742394775 44.106609934940934 226.7233871465164 0.89794 133
[33] 4649 {index_type: IVF_PQ, nlist: 1674, nprobe: 4, m: 10, nbits: 4, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 2178, dataCoord*segment*sealProportion: 0.21, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 6880, dataNode*segment*insertBufSize: 140420271, rootCoord*minSegmentSizeToEnableIndex: 1851} 45.20438973791897 74.93341052345932 6.681742758490145 1496.615533019962 0.12162 105
