[24] 10845 {index_type: IVF_SQ8, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 7204, dataCoord*segment*sealProportion: 0.12, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 100, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 3079} 138.16481070779264 221.81110415421426 52.32926423661411 19.109766104838773 0.9785 302
[25] 11215 {index_type: IVF_PQ, nlist: 1890, nprobe: 20, m: 8, nbits: 7, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 853, dataCoord*segment*sealProportion: 0.25, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 21321, dataNode*segment*insertBufSize: 74085091, rootCoord*minSegmentSizeToEnableIndex: 393} 132.32402159646153 340.96251364424825 2.324232757091522 430.24950790701837 0.09020000000000002 369
[26] 11715 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 494, reorder_k: 500} {dataCoord*segment*maxSize: 1228, dataCoord*segment*sealProportion: 0.27, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 17118, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 782} 128.24507762491703 465.6044861692935 6.138285348191857 162.91194417909685 0.9977 499
[27] 11975 {index_type: IVF_SQ8, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1677, dataCoord*segment*sealProportion: 0.2, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 17384, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 604} 133.92369642667472 215.02834061533213 20.27173482067883 49.329769200607245 0.9778000000000001 260
[28] 12230 {index_type: IVF_PQ, nlist: 405, nprobe: 13, m: 8, nbits: 7, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1100, dataCoord*segment*sealProportion: 0.5, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 23032, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 134.3278908673674 227.5323750562966 2.4086446966975927 415.1712377384114 0.0748 255
[29] 12729 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 259, ef: 457, reorder_k: 500} {dataCoord*segment*maxSize: 1041, dataCoord*segment*sealProportion: 0.32, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 25048, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 137.44369031861424 467.17327001690865 7.199973834678531 138.88939362300457 0.9975 499
[30] 13287 {index_type: SCANN, nlist: 541, nprobe: 11, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 499} {dataCoord*segment*maxSize: 1131, dataCoord*segment*sealProportion: 0.31, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 23872, dataNode*segment*insertBufSize: 15560218, rootCoord*minSegmentSizeToEnableIndex: 276} 139.06931425631046 528.6072366945446 2.697207449004054 370.7538329575839 0.8049000000000001 557
[31] 13771 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 479, dataCoord*segment*sealProportion: 0.26, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 24313, dataNode*segment*insertBufSize: 473288691, rootCoord*minSegmentSizeToEnableIndex: 1110} 128.90420427545905 459.7013806439936 2.3564676996320486 424.36397501062515 0.7647 483
[32] 14042 {index_type: IVF_SQ8, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 4357, dataCoord*segment*sealProportion: 0.01, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 40334, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 138.15424933098257 227.0716253966093 19.738418212160468 50.66262094821351 0.9767 270
[33] 14504 {index_type: IVF_PQ, nlist: 2937, nprobe: 13, m: 8, nbits: 7, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 288, dataCoord*segment*sealProportion: 0.36, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 24926, dataNode*segment*insertBufSize: 296797660, rootCoord*minSegmentSizeToEnableIndex: 784} 134.50819618813694 433.817430479452 3.053791219368577 327.46180998148486 0.08969999999999999 462
